FISICA;1;2;S;17/06/2024;22/07/2024
ELETTROTECNICA;1;2;S;21/06/2024;17/07/2024
FONDAMENTI DI COMUNICAZIONI E INTERNET;1;2;S;10/06/2024;09/07/2024
ANALISI MATEMATICA 1;1;1;S;07/06/2024;05/07/2024
GEOMETRIA E ALGEBRA LINEARE;1;1;S;24/06/2024;12/07/2024
FONDAMENTI DI INFORMATICA;1;1;S;13/06/2024;15/07/2024
ALGORITMI E PRINCIPI DELL'INFORMATICA;2;2;S;20/06/2024;13/07/2024
PROBABILITA' E STATISTICA PER L'INFORMATICA;2;2;N;14/07/2024;19/07/2024
FONDAMENTI DI AUTOMATICA;2;2;S;24/06/2024;26/07/2024
ANALISI MATEMATICA 2;2;1;S;19/06/2024;23/07/2024
LOGICA E ALGEBRA;2;1;S;06/06/2024;08/07/2024
ARCHITETTURA DEI CALCOLATORI E SISTEMI OPERATIVI;2;1;S;08/06/2024;11/07/2024
CHIMICA GENERALE;2;1;N;13/06/2024;06/07/2024
MISURE;2;1;N;12/06/2024;02/07/2024
ONDE ELETTROMAGNETICHE E MEZZI TRASMISSIVI;2;1;N;27/06/2024;25/07/2024
ECONOMIA E ORGANIZZAZIONE AZIENDALE;3;2;S;28/06/2024;19/07/2024
BIOINFORMATICS ALGORITHMS;3;2;N;17/06/2024;10/07/2024
SICUREZZA DELLE RETI;3;2;N;27/06/2024;25/07/2024
AUTOMAZIONE INDUSTRIALE;3;2;N;19/06/2024;09/07/2024
FISICA TECNICA;3;2;N;14/06/2024;26/07/2024
MECCANICA;3;2;N;18/06/2024;08/07/2024
DISP. PER LA TRASMISSIONE INF.;3;2;N;13/06/2024;03/07/2024
INTRODUZIONE TECN. INTERCONNESSIONE;3;2;N;25/06/2024;22/07/2024
OTTICA E IMMAGINI;3;2;N;10/06/2024;04/07/2024
PROBLEMI INVERSI APPL. TELERILEV.;3;2;N;12/06/2024;12/07/2024
SEGNALI PER LE COMUNICAZIONI;3;2;N;27/06/2024;22/07/2024
SOFTWARE DEFINED NETWORKING;3;2;N;24/06/2024;11/07/2024
FONDAMENTI DI ELETTRONICA;3;1;S;18/06/2024;09/07/2024
SISTEMI INFORMATIVI (PER IL SETTORE DELL'INFORMAZIONE);3;1;S;21/06/2024;24/07/2024
BASI DI DATI 1;3;1;S;06/06/2024;02/07/2024
RETI LOGICHE;3;1;S;26/06/2024;17/07/2024
INGEGNERIA DEL SOFTWARE;3;1;S;11/06/2024;05/07/2024
FONDAMENTI DI HUMAN-COMPUTER INTERACTION;3;1;N;14/06/2024;12/07/2024
