{ 1° appello => [ALGORITMI E PRINCIPI DELL'INFORMATICA (obbligatorio): 2° anno, 2° semestre, data: 2024-06-20 (F1)] & [ELETTROMAGNETISMO E CAMPI: 2° anno, 1° semestre, data: 2024-06-22 (F1)] } 
{ 2° appello => [ALGORITMI E PRINCIPI DELL'INFORMATICA (obbligatorio): 2° anno, 2° semestre, data: 2024-07-13 (F1)] & [ELETTROMAGNETISMO E CAMPI: 2° anno, 1° semestre, data: 2024-07-15 (F2)] } 
{ 1° appello => [ALGORITMI E PRINCIPI DELL'INFORMATICA (obbligatorio): 2° anno, 2° semestre, data: 2024-06-20 (F1)] & [ELETTROTECNICA (obbligatorio): 1° anno, 2° semestre, data: 2024-06-21 (F1)] } 
{ 2° appello => [ALGORITMI E PRINCIPI DELL'INFORMATICA (obbligatorio): 2° anno, 2° semestre, data: 2024-07-13 (F1)] & [GEOMETRIA E ALGEBRA LINEARE (obbligatorio): 1° anno, 1° semestre, data: 2024-07-12 (F3)] } 
{ 1° appello => [ALGORITMI E PRINCIPI DELL'INFORMATICA (obbligatorio): 2° anno, 2° semestre, data: 2024-06-20 (F1)] & [SISTEMI INFORMATIVI (PER IL SETTORE DELL'INFORMAZIONE) (obbligatorio): 3° anno, 1° semestre, data: 2024-06-21 (F3)] } 
{ 2° appello => [ALGORITMI E PRINCIPI DELL'INFORMATICA (obbligatorio): 2° anno, 2° semestre, data: 2024-07-13 (F1)] & [SOFTWARE DEFINED NETWORKING: 3° anno, 2° semestre, data: 2024-07-11 (F3)] } 
{ 1° appello => [ANALISI MATEMATICA 1 (obbligatorio): 1° anno, 1° semestre, data: 2024-06-07 (F3)] & [ARCHITETTURA DEI CALCOLATORI E SISTEMI OPERATIVI (obbligatorio): 2° anno, 1° semestre, data: 2024-06-08 (F1)] } 
{ 2° appello => [ANALISI MATEMATICA 1 (obbligatorio): 1° anno, 1° semestre, data: 2024-07-05 (F3)] & [CHIMICA GENERALE: 2° anno, 1° semestre, data: 2024-07-06 (F1)] } 
{ 2° appello => [ANALISI MATEMATICA 1 (obbligatorio): 1° anno, 1° semestre, data: 2024-07-05 (F3)] & [DISPOSITIVI PER LA TRASMISSIONE DELL'INFORMAZIONE: 3° anno, 2° semestre, data: 2024-07-03 (F1)] } 
{ 1° appello => [ANALISI MATEMATICA 1 (obbligatorio): 1° anno, 1° semestre, data: 2024-06-07 (F3)] & [FONDAMENTI DI ELABORAZIONE NUMERICA DEI SEGNALI: 3° anno, 1° semestre, data: 2024-06-07 (F2)] } 
{ 2° appello => [ANALISI MATEMATICA 1 (obbligatorio): 1° anno, 1° semestre, data: 2024-07-05 (F3)] & [INFORMAZIONE E STIMA (PER INGEGNERIA INFORMATICA): 2° anno, 2° semestre, data: 2024-07-04 (F2)] } 
{ 2° appello => [ANALISI MATEMATICA 1 (obbligatorio): 1° anno, 1° semestre, data: 2024-07-05 (F3)] & [INGEGNERIA DEL SOFTWARE (obbligatorio): 3° anno, 1° semestre, data: 2024-07-05 (F1)] } 
{ 2° appello => [ANALISI MATEMATICA 1 (obbligatorio): 1° anno, 1° semestre, data: 2024-07-05 (F3)] & [OTTICA E IMMAGINI: 3° anno, 2° semestre, data: 2024-07-04 (F1)] } 
{ 1° appello => [ANALISI MATEMATICA 2 (obbligatorio): 2° anno, 1° semestre, data: 2024-06-19 (F3)] & [ALGORITMI E PRINCIPI DELL'INFORMATICA (obbligatorio): 2° anno, 2° semestre, data: 2024-06-20 (F1)] } 
{ 1° appello => [ANALISI MATEMATICA 2 (obbligatorio): 2° anno, 1° semestre, data: 2024-06-19 (F3)] & [AUTOMAZIONE INDUSTRIALE: 3° anno, 2° semestre, data: 2024-06-19 (F2)] } 
{ 1° appello => [ANALISI MATEMATICA 2 (obbligatorio): 2° anno, 1° semestre, data: 2024-06-19 (F3)] & [ELETTROTECNICA (obbligatorio): 1° anno, 2° semestre, data: 2024-06-21 (F1)] } 
{ 2° appello => [ANALISI MATEMATICA 2 (obbligatorio): 2° anno, 1° semestre, data: 2024-07-23 (F3)] & [FISICA TECNICA: 2° anno, 1° semestre, data: 2024-07-24 (F3)] } 
{ 2° appello => [ANALISI MATEMATICA 2 (obbligatorio): 2° anno, 1° semestre, data: 2024-07-23 (F3)] & [INTRODUZIONE ALLE TECNOLOGIE DI INTERCONNESSIONE: 3° anno, 2° semestre, data: 2024-07-22 (F3)] } 
{ 2° appello => [ANALISI MATEMATICA 2 (obbligatorio): 2° anno, 1° semestre, data: 2024-07-23 (F3)] & [ONDE ELETTROMAGNETICHE E MEZZI TRASMISSIVI: 2° anno, 1° semestre, data: 2024-07-25 (F3)] } 
{ 2° appello => [ANALISI MATEMATICA 2 (obbligatorio): 2° anno, 1° semestre, data: 2024-07-23 (F3)] & [SEGNALI PER LE COMUNICAZIONI: 2° anno, 2° semestre, data: 2024-07-22 (F2)] } 
{ 2° appello => [ANALISI MATEMATICA 2 (obbligatorio): 2° anno, 1° semestre, data: 2024-07-23 (F3)] & [SICUREZZA DELLE RETI: 3° anno, 2° semestre, data: 2024-07-25 (F2)] } 
{ 1° appello => [ANALISI MATEMATICA 2 (obbligatorio): 2° anno, 1° semestre, data: 2024-06-19 (F3)] & [SISTEMI INFORMATIVI (PER IL SETTORE DELL'INFORMAZIONE) (obbligatorio): 3° anno, 1° semestre, data: 2024-06-21 (F3)] } 
{ 2° appello => [ANALISI MATEMATICA 2 (obbligatorio): 2° anno, 1° semestre, data: 2024-07-23 (F3)] & [SISTEMI INFORMATIVI (PER IL SETTORE DELL'INFORMAZIONE) (obbligatorio): 3° anno, 1° semestre, data: 2024-07-24 (F2)] } 
{ 1° appello => [ANALISI MATEMATICA 2 (obbligatorio): 2° anno, 1° semestre, data: 2024-06-19 (F3)] & [TECNOLOGIE INFORMATICHE PER IL WEB: 3° anno, 2° semestre, data: 2024-06-19 (F1)] } 
{ 2° appello => [ANALISI MATEMATICA 2 (obbligatorio): 2° anno, 1° semestre, data: 2024-07-23 (F3)] & [TECNOLOGIE INFORMATICHE PER IL WEB: 3° anno, 2° semestre, data: 2024-07-23 (F1)] } 
{ 2° appello => [ARCHITETTURA DEI CALCOLATORI E SISTEMI OPERATIVI (obbligatorio): 2° anno, 1° semestre, data: 2024-07-11 (F1)] & [ALGORITMI E PRINCIPI DELL'INFORMATICA (obbligatorio): 2° anno, 2° semestre, data: 2024-07-13 (F1)] } 
{ 2° appello => [ARCHITETTURA DEI CALCOLATORI E SISTEMI OPERATIVI (obbligatorio): 2° anno, 1° semestre, data: 2024-07-11 (F1)] & [AUTOMAZIONE INDUSTRIALE: 3° anno, 2° semestre, data: 2024-07-09 (F3)] } 
{ 2° appello => [ARCHITETTURA DEI CALCOLATORI E SISTEMI OPERATIVI (obbligatorio): 2° anno, 1° semestre, data: 2024-07-11 (F1)] & [BIOINFORMATICS ALGORITHMS: 3° anno, 2° semestre, data: 2024-07-10 (F1)] } 
{ 1° appello => [ARCHITETTURA DEI CALCOLATORI E SISTEMI OPERATIVI (obbligatorio): 2° anno, 1° semestre, data: 2024-06-08 (F1)] & [FONDAMENTI DI COMUNICAZIONI E INTERNET (obbligatorio): 1° anno, 2° semestre, data: 2024-06-10 (F1)] } 
{ 2° appello => [ARCHITETTURA DEI CALCOLATORI E SISTEMI OPERATIVI (obbligatorio): 2° anno, 1° semestre, data: 2024-07-11 (F1)] & [FONDAMENTI DI COMUNICAZIONI E INTERNET (obbligatorio): 1° anno, 2° semestre, data: 2024-07-09 (F1)] } 
{ 2° appello => [ARCHITETTURA DEI CALCOLATORI E SISTEMI OPERATIVI (obbligatorio): 2° anno, 1° semestre, data: 2024-07-11 (F1)] & [FONDAMENTI DI ELETTRONICA (obbligatorio): 3° anno, 1° semestre, data: 2024-07-09 (F2)] } 
{ 2° appello => [ARCHITETTURA DEI CALCOLATORI E SISTEMI OPERATIVI (obbligatorio): 2° anno, 1° semestre, data: 2024-07-11 (F1)] & [FONDAMENTI DI HUMAN-COMPUTER INTERACTION: 3° anno, 1° semestre, data: 2024-07-12 (F1)] } 
